"country","Quality_of_Life_Index","Purchasing_Power_Index","Safety_Index","Health_Care_Index","Cost_of_Living_Index","Property_Price_to_Income_Ratio","Traffic_Commute_Time_Index","Pollution_Index","Climate_Index"
"Switzerland","190.8","111","78.7","74.5","131.7","8.4","28.7","20.1","80"
"Germany","176.8","93.7","64.6","73.8","70.6","9.1","31.4","27.5","83"
"Sweden","171.4","90.6","52.8","68.8","79.2","8.6","29.9","18.4","74.9"
"United States","167","102.6","52.3","69","71.9","4","32.9","38.9","77.3"
"Finland","182.8","89.1","73","76.4","77.5","8.6","29","11.9","56.6"
"Denmark","190","94.7","73.3","80","91.7","6.7","28.7","20.4","81.8"
"Austria","182.4","78.2","74.8","78.4","75.5","10.4","25.7","19.2","77.8"
"Australia","181.5","99.3","57.6","77.7","84.1","7.4","35","23.5","92.7"
"Canada","160","82.8","58.8","71.8","70.1","7.5","33.7","28.1","56.7"
"New Zealand","175.8","81.4","57.7","73.6","79.1","8.1","30.7","23.8","96.4"
"Norway","173.6","79.4","66.6","75.5","106.1","8.5","26.9","18.1","68.7"
"Saudi Arabia","147.4","88.2","74.1","60.7","49.9","2.6","28.4","64.1","46"
"Japan","162.3","76.5","78","80.7","87.8","13","39.9","39.4","85.3"
"Netherlands","183.3","83.9","72.8","75.8","78.6","7.4","27.8","25.3","87.1"
"United Kingdom","159","82.6","54.7","74.9","71","9.6","34.4","40.2","88"
"United Arab Emirates","156","85.7","84.6","68","61.7","4.9","36.3","50.4","45.2"
"Ireland","150.9","73.8","55","52.8","83.1","7.4","37.7","33.6","89.1"
"France","150.7","74.1","50.8","81","80.6","13.5","34.5","41.8","89.9"
"Belgium","150.9","76.5","55.8","75.2","78.5","6.9","36.2","50.3","86"
"Spain","164.5","62.7","66.9","78.8","59.1","9.6","29.4","39.6","93.2"
"Slovenia","168.2","56.1","78.2","65.3","59.4","10.9","26.8","22.7","77.6"
"Portugal","161.9","45","70.1","71.9","52.9","12.7","29.6","29.6","97.7"
"Czech Republic","156.3","56.4","74.7","75.4","49.2","15.5","29.7","36.3","77.1"
"Israel","144.1","70.4","68.8","73.8","86.6","13.7","35.8","58.4","93.8"
"South Korea","130","76.6","73.1","82.3","81.2","23.6","39.9","61.8","68.4"
"Lithuania","160","54.6","66.2","71","47.7","11","25.7","27","69.9"
"Croatia","156.1","43.1","75.1","64.2","56.4","14.2","28.1","30.6","89.7"
"Singapore","143.8","83.6","67","70.9","85.6","19.4","41.2","33.2","57.5"
"South Africa","132.2","72.9","22.9","63.9","41.7","4","39.3","57","95.3"
"Poland","132.6","47.1","70.7","58.3","42","14","31.3","54.3","75.9"
"Italy","138.6","58.7","55.6","66.8","73.1","9.5","34.2","53.9","91.5"
"Greece","129.9","38.9","55.9","57","61","10.1","33.9","51.9","94.2"
"Hungary","134","49.8","65.2","51.6","42.7","11.6","35.8","47.8","79.5"
"Malaysia","116.9","56.1","42.1","69.6","39.5","9.9","37","62.6","59.1"
"Mexico","120.3","35.5","45","72.5","35.1","10.5","39","61.2","86.6"
"Romania","131.7","45.2","71.7","56.1","38.5","10.7","34.1","58.4","77.7"
"Turkey","126","35.3","60.5","70.7","31.5","8.2","44.6","66.2","93.3"
"India","104.5","47.1","55.3","66.2","25.2","11.3","46.7","79.6","65.3"
"Argentina","110.5","34.6","36.7","68.6","37.9","22.7","43.2","50.7","98.3"
"Bosnia And Herzegovina","125.7","42.6","57","53.5","38.6","10.7","25.9","60.7","80.5"
"Bulgaria","126.3","40.3","61.9","56.1","40.9","9","29.4","64.5","82.8"
"Chile","99.9","33.3","47.9","63.7","49.3","17.6","35.6","79","90.2"
"Serbia","116.2","35.8","61.7","51.6","39.2","17.1","31.1","61.2","83.2"
"Colombia","101.3","26.1","44.2","66.7","31","18.7","47.3","62.9","88.3"
"Thailand","100.3","31.4","60.6","78.1","49.3","22.2","39.2","75.4","69.4"
"Philippines","78.4","19.7","57.8","67.1","40.7","30.1","44","74.1","61"
"Brazil","104.7","28.7","32.2","57.3","31.8","16.1","41.7","54.5","92.4"
"Russia","101.7","34.6","59.9","58.4","33.2","11.1","44.6","62.3","38.5"
"Indonesia","90.1","20.9","53.8","60.5","37.4","22","43.4","67.1","68.5"
"Pakistan","105.1","27.3","56.1","60.5","21.6","12.6","37.8","73.4","73.6"
"Ukraine","107.4","30.1","51.7","53.4","29.2","10.8","37.9","64.3","70.8"
"China","103.1","57.5","69.8","66.4","42.5","29","40.9","81.5","80.2"
"Egypt","86.3","20","53.2","46.2","30.1","13.6","49.1","84.3","92"
"Iran","64.7","19","50.8","52.2","41.3","34.2","47.4","76.1","71"
